"Month","Trtmt","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","Total","padj","Minerals"
"26",2,"Ferrihydrite","106_5627",6.65244252152927,-0.198545353622225,0.93678777001215,0.83215171719158,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.894883154333715,"Minerals"
"27",2,"Ferrihydrite","96_34838",1.18246689778521,1.5920600448911,1.32464426431882,0.229411019909352,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.382260555224402,"Minerals"
"28",2,"Ferrihydrite","15_66648",0.713270092875324,3.09636851998224,1.92562487299531,0.107839304711967,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.217232489895287,"Minerals"
"29",2,"Ferrihydrite","44_4657",1.95582436562139,2.26324875930222,1.1907523721014,0.0573428896486188,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.145227100957915,"Minerals"
"30",2,"Ferrihydrite","1_48890",0.802126388289659,0.799916683963724,1.48640488748472,0.590469829737281,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Segetibacter",NA,18848.5892299592,0.700149976227921,"Minerals"
"31",2,"Ferrihydrite","89_31816",0.784787550754926,5.26338855634845,1.93246068675975,0.00645606399663736,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Segetibacter",NA,18848.5892299592,0.0353944214403884,"Minerals"
"32",2,"Ferrihydrite","91_463687",1.25930159405428,2.40642564084803,1.20728480566679,0.0462336069105704,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Flavisolibacter",NA,18848.5892299592,0.128944993017637,"Minerals"
"33",2,"Ferrihydrite","91_422",6.87884152569656,1.91058193425042,0.74059045587208,0.00988549699335212,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Flavisolibacter",NA,18848.5892299592,0.0488336565254638,"Minerals"
"34",2,"Ferrihydrite","96_6099",8.28249421872956,-4.82328289189631,1.27665212908015,0.000158047573333204,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.00173976777574661,"Minerals"
"35",2,"Ferrihydrite","91_9131",7.44906210981378,0.455342321075988,0.748748718325133,0.54309615212022,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.664302340737314,"Minerals"
