OTUId	2_12	2_9	2_6	2_3	Ferrihydrite	1_12	Heavy	1_9	Kaolinite	1_6	Quartz	1_3
OTU_35926;barcodelabel=2_12	6	0	0	0	0	0	0	0	1	0	0	0
OTU_74085;barcodelabel=2_9	0	6	0	0	0	0	0	0	0	0	0	0
OTU_35335;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_34999;barcodelabel=2_12	6	0	0	0	0	0	0	0	2	0	0	0
OTU_37424;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_33897;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_73506;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_34243;barcodelabel=2_12	6	0	0	0	2	0	0	0	0	0	0	0
OTU_33258;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_86625;barcodelabel=2_9	0	6	0	0	0	0	0	0	0	0	0	0
OTU_36891;barcodelabel=2_12	6	0	0	0	2	0	0	0	0	0	0	0
OTU_135747;barcodelabel=2_12	6	0	0	0	0	0	1	0	0	0	0	0
OTU_68220;barcodelabel=2_12	6	0	0	0	2	0	0	0	0	0	0	0
OTU_2192;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_2178;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_41499;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_200764;barcodelabel=2_9	0	6	0	0	4	0	0	0	0	0	0	0
OTU_34032;barcodelabel=2_12	6	0	0	0	1	0	0	0	0	0	0	0
OTU_164896;barcodelabel=2_9	0	6	0	0	0	0	0	0	0	0	0	0
OTU_35841;barcodelabel=2_12	6	5	0	0	0	0	0	0	0	0	0	0
OTU_368604;barcodelabel=2_9	0	11	5	0	0	4	0	0	0	0	0	0
OTU_32499;barcodelabel=2_9	0	6	0	0	2	0	0	0	0	0	0	0
OTU_52570;barcodelabel=2_12	6	0	0	0	3	0	0	0	0	0	0	0
OTU_56179;barcodelabel=2_12	6	0	0	0	0	3	0	0	0	0	0	0
OTU_65615;barcodelabel=2_12	6	0	0	0	2	0	0	0	0	0	0	0
OTU_272747;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_159662;barcodelabel=2_12	6	0	0	0	0	0	0	0	2	0	0	0
OTU_287934;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_204357;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_180893;barcodelabel=2_6	0	0	6	0	0	4	0	0	0	2	0	0
OTU_57703;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
