"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"F_2_15",798,0.847689733618865,0.906611700182357,0.0108728751146984,1,-5.41917072916976,0.000999000999000999,1000
"F_2_28",1278,0.860012464611037,0.906934291964074,0.00833029629426112,1,-5.63267207978688,0.000999000999000999,1000
"F_2_33",1059,0.845845978104678,0.907406970252851,0.0092562694871938,1,-6.65073464351307,0.000999000999000999,1000
"F_2_9",1553,0.866412266680386,0.906786397333677,0.00736762374711729,1,-5.47993926387578,0.000999000999000999,1000
"F_2.5_13",1162,0.861197673143664,0.906905624133359,0.00910154191113144,1,-5.0220008253539,0.000999000999000999,1000
"F_2.5_14",2241,0.880653976835915,0.907044129581652,0.00612178587242658,1,-4.31085851346124,0.000999000999000999,1000
"F_2.5_16",2701,0.885340350399715,0.907239296416263,0.00531812635671062,1,-4.1177934760642,0.000999000999000999,1000
"F_2.5_27",1987,0.862894743303781,0.907075208632476,0.00634003981245994,1,-6.96848389530111,0.000999000999000999,1000
"F_2.5_3",3443,0.903194499915027,0.906926908328379,0.00430880941314456,193,-0.86622731605756,0.192807192807193,1000
"F_2.5_30",941,0.84770412530807,0.907535942790106,0.00987686809493829,1,-6.05777225198529,0.000999000999000999,1000
"F_2.5_31",2216,0.869095595211513,0.906933344030935,0.00599751492645816,1,-6.30890448517256,0.000999000999000999,1000
"F_2.5_42",2330,0.880066171356861,0.906773493626667,0.00569300380338405,1,-4.69125319289798,0.000999000999000999,1000
"F_2.5_49",2145,0.865226743650628,0.907109758553074,0.00587063120098943,1,-7.13432908123863,0.000999000999000999,1000
"F_3_12",2431,0.882756492066636,0.907173983952337,0.00559861528732431,1,-4.36134483842538,0.000999000999000999,1000
"F_3_20",1844,0.860879547228594,0.906877329534494,0.00667248380676746,1,-6.89365214483499,0.000999000999000999,1000
"F_3_22",1570,0.871485790900935,0.906871112888618,0.0071978762280188,1,-4.91607814120793,0.000999000999000999,1000
"F_3_23",1864,0.86062450439321,0.90707024801095,0.00675342605264533,1,-6.87736021031092,0.000999000999000999,1000
"F_3_44",1202,0.864739923870984,0.907297670632778,0.00890875562111896,1,-4.77706972463223,0.000999000999000999,1000
"H_2.5_13",559,0.830156085303377,0.907750757876777,0.0136958493065769,1,-5.66556121029586,0.000999000999000999,1000
"H_2.5_3",622,0.847168527579726,0.907393068173934,0.0125973432671732,1,-4.78073347029799,0.000999000999000999,1000
"H_2.5_42",961,0.866829467091571,0.906857610403009,0.010283482693713,1,-3.89246955566032,0.000999000999000999,1000
"K_2.5_14",538,0.845896351823777,0.907546064364257,0.0135171693338717,1,-4.56084487940804,0.000999000999000999,1000
"K_2.5_16",1379,0.879230766957399,0.906829447136974,0.0081498580694898,3,-3.38640009976309,0.002997002997003,1000
"K_2.5_3",3128,0.885772412726955,0.907170427769286,0.00458283951487704,1,-4.66916089312503,0.000999000999000999,1000
"K_2.5_42",642,0.809081048012014,0.906925087925457,0.0116518720171067,1,-8.39728069187456,0.000999000999000999,1000
"K_3_12",574,0.801920245787499,0.907558888463919,0.0133389237445245,1,-7.91957767355735,0.000999000999000999,1000
"K_3_23",120,0.78711243977591,0.907975804053221,0.0290144629008499,1,-4.16562473309718,0.000999000999000999,1000
"Q_2_33",1158,0.830343362247967,0.907058460510522,0.0088149250170368,1,-8.70286452967956,0.000999000999000999,1000
"Q_2.5_13",1702,0.856344370118911,0.907017968058735,0.00742682381081121,1,-6.8230510418274,0.000999000999000999,1000
"Q_2.5_14",2587,0.875803058142757,0.907100530977357,0.00545773079557297,1,-5.73452117865295,0.000999000999000999,1000
"Q_2.5_16",2931,0.884742321163786,0.906827081974459,0.00481903628245735,1,-4.58281687794457,0.000999000999000999,1000
"Q_2.5_27",2088,0.860413757396178,0.907053272353504,0.00645656476821912,1,-7.22358043814528,0.000999000999000999,1000
