"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Q_2.5_3",1464,0.864263280948272,0.907460375348095,0.00781801930569108,1,-5.52532460087137,0.000999000999000999,1000
"Q_2.5_30",1030,0.832843954428373,0.907215378424788,0.00970267898225574,1,-7.66504015359316,0.000999000999000999,1000
"Q_2.5_31",2328,0.865340697017088,0.907024031864475,0.00558611509204275,1,-7.46195417755791,0.000999000999000999,1000
"Q_2.5_42",2568,0.872701836213163,0.906921842703029,0.00531533744942821,1,-6.43797441186863,0.000999000999000999,1000
"Q_2.5_49",1778,0.865445350969424,0.907144780289406,0.00680990300171438,1,-6.12335143532654,0.000999000999000999,1000
"Q_3_12",2461,0.899524616141895,0.907000790621784,0.00567427169329571,97,-1.31755666347855,0.0969030969030969,1000
"Q_3_20",952,0.856363012264843,0.906839577094522,0.00922485662328421,1,-5.47179938843417,0.000999000999000999,1000
"Q_3_22",475,0.821956553231179,0.907462653625761,0.0151687329046476,1,-5.63699690225167,0.000999000999000999,1000
"Q_3_23",274,0.733753207400872,0.907695262561964,0.0187301821753844,1,-9.28672521881235,0.000999000999000999,1000
"Q_3_44",1817,0.876412543513416,0.90725931047052,0.00683999162829186,1,-4.50976677069515,0.000999000999000999,1000
"S_2_15",1672,0.855912921967478,0.907052192446247,0.00716374216562549,1,-7.13862521799798,0.000999000999000999,1000
"S_2_28",2205,0.863304502281978,0.907039435380364,0.00603662362813237,1,-7.24493289503246,0.000999000999000999,1000
"S_2_31",1737,0.845148184459142,0.907056413502543,0.0071644123845409,1,-8.64107559986134,0.000999000999000999,1000
"S_2_33",1752,0.858823268934386,0.906803747237084,0.00693427869078266,1,-6.91931784721548,0.000999000999000999,1000
"S_2_9",845,0.822951784738776,0.906997825576545,0.0103478879335569,1,-8.12204783985129,0.000999000999000999,1000
"S_2.5_13",1527,0.845188113133539,0.907057966508123,0.00710673693969289,1,-8.70580322581304,0.000999000999000999,1000
"S_2.5_14",2396,0.865847666131095,0.907075316745735,0.00562509065712688,1,-7.32924198517672,0.000999000999000999,1000
"S_2.5_16",1564,0.847435941341737,0.906966414491518,0.00730518308600919,1,-8.14907339746118,0.000999000999000999,1000
"S_2.5_27",1954,0.859361345697588,0.906963508593225,0.00657057287356082,1,-7.2447507716081,0.000999000999000999,1000
"S_2.5_3",1905,0.85772933744679,0.907158940713073,0.00652326221758754,1,-7.57743619948535,0.000999000999000999,1000
"S_2.5_49",2918,0.871269063552435,0.907027479873752,0.00486498255472547,1,-7.35016331899968,0.000999000999000999,1000
"S_3_12",2128,0.862128028383724,0.907207840143735,0.00601061683595287,1,-7.50003086045399,0.000999000999000999,1000
"S_3_20",2186,0.867822820905241,0.906758042136257,0.00592636340210458,1,-6.56983357064974,0.000999000999000999,1000
"S_3_22",2041,0.85982519932559,0.9070051331469,0.00623038199597362,1,-7.57255876955863,0.000999000999000999,1000
"S_3_23",553,0.774493969127552,0.906893167366407,0.0134032249422637,1,-9.87815983162137,0.000999000999000999,1000
"S_3_44",1792,0.859606046440038,0.906957886610227,0.00677341671247949,1,-6.99083522839335,0.000999000999000999,1000
