"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"F_2_15",798,0.0965915037593985,0.159692762005013,0.0038777929081233,1,-16.2724672876233,0.000999000999000999,1000
"F_2_28",1278,0.0818627151799687,0.133708763974961,0.00246822256972399,1,-21.0054188106666,0.000999000999000999,1000
"F_2_33",1059,0.0853686213408876,0.143562145552408,0.00317003272470919,1,-18.3573891076657,0.000999000999000999,1000
"F_2_9",1553,0.084685003219575,0.123899935994849,0.00215333592609925,1,-18.2112471630523,0.000999000999000999,1000
"F_2.5_13",1162,0.0877001721170396,0.138670555903614,0.00286027525404843,1,-17.8200974589531,0.000999000999000999,1000
"F_2.5_14",2241,0.0770843953592146,0.107444851481481,0.00151430494368914,1,-20.0491032197933,0.000999000999000999,1000
"F_2.5_16",2701,0.0761497371343947,0.0998693244168826,0.00124446833425717,1,-19.0600167393141,0.000999000999000999,1000
"F_2.5_27",1987,0.074345868142929,0.112522889864117,0.00174417375271232,1,-21.8883133987193,0.000999000999000999,1000
"F_2.5_3",3443,0.073789436537903,0.0908748793987801,0.000976800486385736,1,-17.4912309105159,0.000999000999000999,1000
"F_2.5_30",941,0.0871342401700319,0.15009752901169,0.00355977476370198,1,-17.6874361500836,0.000999000999000999,1000
"F_2.5_31",2216,0.0808428745487365,0.107876627278881,0.00152500297033032,1,-17.7270164426557,0.000999000999000999,1000
"F_2.5_42",2330,0.0726240515021459,0.105813731763948,0.00139079501341582,1,-23.8638188529941,0.000999000999000999,1000
"F_2.5_49",2145,0.0713214032634033,0.10926320216317,0.00157403846429104,1,-24.1047469680839,0.000999000999000999,1000
"F_3_12",2431,0.071399099136158,0.104030723739202,0.00138748936703572,1,-23.5184682335688,0.000999000999000999,1000
"F_3_20",1844,0.0795049945770065,0.115891467646421,0.00184906662523825,1,-19.6782920489553,0.000999000999000999,1000
"F_3_22",1570,0.0805986624203822,0.123392647101911,0.00212879451694102,1,-20.1024496920546,0.000999000999000999,1000
"F_3_23",1864,0.0763315021459227,0.11548229180794,0.00185397456846774,1,-21.1172204451404,0.000999000999000999,1000
"F_3_44",1202,0.0832439683860233,0.136893437995008,0.00275468458648438,1,-19.475721420961,0.000999000999000999,1000
"H_2.5_13",559,0.109567262969589,0.181925471753131,0.00532504559001089,1,-13.5882796795725,0.000999000999000999,1000
"H_2.5_3",622,0.103794324758842,0.175116427524116,0.00475825934321462,1,-14.9891163177098,0.000999000999000999,1000
"H_2.5_42",961,0.0852132049947971,0.149104326628512,0.00335372688680456,1,-19.0507825443683,0.000999000999000999,1000
"K_2.5_14",538,0.115988048327138,0.184438842527881,0.00539156887041,1,-12.6958953592182,0.000999000999000999,1000
"K_2.5_16",1379,0.104558237853517,0.129773370435098,0.00233164052199654,1,-10.8143310873623,0.000999000999000999,1000
"K_2.5_3",3128,0.0808059718670077,0.0942309458855499,0.00107710423529561,1,-12.4639506359918,0.000999000999000999,1000
"K_2.5_42",642,0.117845825545171,0.173099351682243,0.0045936912655016,1,-12.028132267404,0.000999000999000999,1000
"K_3_12",574,0.110252473867596,0.180341905400697,0.00498459303595612,1,-14.0612144316526,0.000999000999000999,1000
"K_3_23",120,0.190907166666667,0.3035932925,0.017133855079557,1,-6.57681095761006,0.000999000999000999,1000
"Q_2_33",1158,0.0844660880829016,0.138803776062176,0.00285455524299073,1,-19.0354305150335,0.000999000999000999,1000
"Q_2.5_13",1702,0.0775396004700352,0.119594353589894,0.00202944355112558,1,-20.7223074012255,0.000999000999000999,1000
"Q_2.5_14",2587,0.0692065481252416,0.101582402299961,0.00127123669938566,1,-25.4679983596806,0.000999000999000999,1000
"Q_2.5_16",2931,0.0809907813033094,0.0966592487137496,0.00111630137991722,1,-14.0360548614587,0.000999000999000999,1000
"Q_2.5_27",2088,0.073471245210728,0.110439888213602,0.00161894092028791,1,-22.835078500764,0.000999000999000999,1000
"Q_2.5_3",1464,0.0815031830601093,0.126792546564208,0.00219222224491098,1,-20.6591113694029,0.000999000999000999,1000
"Q_2.5_30",1030,0.082879213592233,0.145173102116505,0.00326552860770336,1,-19.0762035822687,0.000999000999000999,1000
"Q_2.5_31",2328,0.0772238015463917,0.105778232027491,0.00148794291715933,1,-19.1905416207859,0.000999000999000999,1000
"Q_2.5_42",2568,0.0707746767912773,0.101846628271028,0.0013277866455936,1,-23.4013134435916,0.000999000999000999,1000
"Q_2.5_49",1778,0.0787050112485939,0.117569328329584,0.00188517517396691,1,-20.6157590115135,0.000999000999000999,1000
"Q_3_12",2461,0.0836186956521739,0.103475494311256,0.00140203156807799,1,-14.1628755808279,0.000999000999000999,1000
"Q_3_20",952,0.0936482352941176,0.149670037888655,0.00340826011714892,1,-16.4370677908825,0.000999000999000999,1000
"Q_3_22",475,0.123990126315789,0.192695568147368,0.00597783252226384,1,-11.4933701430564,0.000999000999000999,1000
"Q_3_23",274,0.11457496350365,0.232875371751825,0.00941831481961793,1,-12.5606767785847,0.000999000999000999,1000
"Q_3_44",1817,0.079500489818382,0.116644386609796,0.00189016163108663,1,-19.6511748945305,0.000999000999000999,1000
"S_2_15",1672,0.0751546889952153,0.12047198701555,0.0019855677316247,1,-22.8233453326993,0.000999000999000999,1000
"S_2_28",2205,0.0703836961451247,0.10815641185034,0.00152324107075339,1,-24.797595357991,0.000999000999000999,1000
"S_2_31",1737,0.0745934599884859,0.11867879806563,0.00192832677493455,1,-22.8619643984567,0.000999000999000999,1000
"S_2_33",1752,0.0729948515981735,0.118227173710046,0.00190470793422084,1,-23.7476419871036,0.000999000999000999,1000
"S_2_9",845,0.093215775147929,0.15636803252071,0.00373826936814716,1,-16.8934475163522,0.000999000999000999,1000
"S_2.5_13",1527,0.079663163064833,0.12487154800262,0.00215770144856963,1,-20.952103901008,0.000999000999000999,1000
"S_2.5_14",2396,0.0721602003338898,0.104656988401503,0.0014148876177836,1,-22.9677521091875,0.000999000999000999,1000
"S_2.5_16",1564,0.0785893414322251,0.123703880485934,0.00213802118361568,1,-21.1010720564582,0.000999000999000999,1000
"S_2.5_27",1954,0.0730373336745138,0.113314838541453,0.00179911850457563,1,-22.3873551211347,0.000999000999000999,1000
"S_2.5_3",1905,0.0742679790026247,0.11444606152231,0.00177499998857973,1,-22.6355395933459,0.000999000999000999,1000
"S_2.5_49",2918,0.0678358327621659,0.0968910690781357,0.00113435110999822,1,-25.6139708947924,0.000999000999000999,1000
"S_3_12",2128,0.0763681719924812,0.109612125718985,0.00159294493583046,1,-20.8694933382442,0.000999000999000999,1000
