Season,Week,OTU,Domain,Phylum,Class,Order,Family,Genus,rhizo_enriched,rhizo_depleted,pvals_adj.adj...1.,pvals_adj.adj...2.,P
2,12,OTU_169422,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.000200732,0.00160294,1
2,12,OTU_362976,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,1,0,0.000215752,0.001680115,1
2,12,OTU_124776,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,0.000218225,0.001693368,1
2,12,OTU_15559,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.000249693,0.001858731,1
2,12,OTU_25160,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.000361222,0.00244828,1
2,12,OTU_41499,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,1,0,0.000520851,0.003221941,1
2,12,OTU_2178,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,Unclassified,1,0,0.000549963,0.003368122,1
2,12,OTU_200430,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,1,0,0.00061034,0.003642138,1
2,12,OTU_6059,Bacteria,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,1,0,0.000699809,0.004012484,1
2,12,OTU_303940,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,1,0,0.000861278,0.004624367,1
2,12,OTU_36358,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.000886019,0.004732948,1
2,12,OTU_68845,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,1,0,0.000949948,0.004966869,1
2,12,OTU_351171,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,1,0,0.001025331,0.005285511,1
2,12,OTU_51743,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinosynnema,1,0,0.001439427,0.007055762,1
2,12,OTU_262218,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.001495552,0.007282111,1
2,12,OTU_48794,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Unclassified,1,0,0.001857031,0.008495917,1
2,12,OTU_48969,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces,1,0,0.001926849,0.008688624,1
2,12,OTU_245753,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Conexibacteraceae,Conexibacter,1,0,0.001939133,0.008690481,1
2,12,OTU_12079,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.002092435,0.009221207,1
2,12,OTU_52570,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unclassified,Unclassified,1,0,0.002349424,0.009883785,1
2,12,OTU_2312,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1,0,0.002360517,0.009911461,1
2,12,OTU_302670,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,1,0,0.002577708,0.010700657,1
2,12,OTU_211763,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Unclassified,1,0,0.002904709,0.011790649,1
2,12,OTU_81083,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unclassified,Unclassified,1,0,0.003064627,0.012303328,1
2,12,OTU_69096,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,1,0,0.003263152,0.01281911,1
2,12,OTU_118944,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,1,0,0.003415143,0.01322513,1
2,12,OTU_61333,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Conexibacteraceae,Conexibacter,1,0,0.003432752,0.01322513,1
2,12,OTU_67932,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,1,0,0.003897279,0.014604822,1
2,12,OTU_46728,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Promicromonospora,1,0,0.004216441,0.015561857,1
2,12,OTU_212844,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Unclassified,1,0,0.00435448,0.015858106,1
2,12,OTU_192049,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,1,0,0.005118123,0.017925674,1
2,12,OTU_83360,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,1,0,0.00545469,0.018775076,1
2,12,OTU_46113,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Kutzneria,1,0,0.006597991,0.022222682,1
2,12,OTU_40879,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,1,0,0.009546624,0.029906401,1
2,12,OTU_34427,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,1,0,0.012850825,0.038047005,1
2,12,OTU_35595,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,Sporichthya,1,0,0.013663743,0.039742489,1
2,12,OTU_33420,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,0.013861748,0.040211888,1
2,12,OTU_185559,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1,0,0.017076686,0.047832147,1
2,12,OTU_4924,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas/Armatimonadetes_gp1,1,0,0.001706664,0.007957187,1
2,12,OTU_34032,Bacteria,Armatimonadetes,Unclassified,Unclassified,Unclassified,Armatimonadetes_gp5,1,0,7.15E-05,0.000723765,1
2,12,OTU_44716,Bacteria,Armatimonadetes,Unclassified,Unclassified,Unclassified,Armatimonadetes_gp5,1,0,0.000356235,0.002437046,1
2,12,OTU_33434,Bacteria,Bacteroidetes,Bacteroidetes_incertae_sedis,Unclassified,Unclassified,Ohtaekwangia,1,0,0.002230409,0.009510638,1
2,12,OTU_37611,Bacteria,Bacteroidetes,Bacteroidetes_incertae_sedis,Unclassified,Unclassified,Ohtaekwangia,1,0,0.004191197,0.015494729,1
2,12,OTU_32712,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,1,0,2.94E-11,4.96E-09,1
2,12,OTU_40438,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,0,2.72E-10,2.63E-08,1
2,12,OTU_168205,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,0,9.52E-10,6.97E-08,1
2,12,OTU_33258,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,1,0,1.55E-09,9.99E-08,1
2,12,OTU_82449,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,1,0,1.76E-08,8.80E-07,1
2,12,OTU_44821,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified,1,0,6.29E-08,2.61E-06,1
2,12,OTU_55175,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,1,0,7.10E-08,2.89E-06,1
2,12,OTU_32423,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,1,0,3.04E-07,9.40E-06,1
2,12,OTU_49607,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,1,0,1.55E-06,3.37E-05,1
2,12,OTU_35020,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,0,2.18E-06,4.44E-05,1
2,12,OTU_24396,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,1,0,2.50E-06,4.89E-05,1
2,12,OTU_14085,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,1,0,1.77E-05,0.000234176,1
2,12,OTU_73506,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Dyadobacter,1,0,1.81E-05,0.00023828,1
2,12,OTU_32609,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,0,7.46E-05,0.000748207,1
2,12,OTU_57505,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niabella,1,0,0.000120774,0.001095946,1
2,12,OTU_55320,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavihumibacter,1,0,0.00013873,0.0012186,1
2,12,OTU_38265,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,1,0,0.000251659,0.001867037,1
2,12,OTU_186387,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,1,0,0.000285702,0.002057053,1
2,12,OTU_193433,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified,1,0,0.000358742,0.002446576,1
2,12,OTU_39473,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,1,0,0.000430846,0.002782756,1
2,12,OTU_35413,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified,1,0,0.000560163,0.003388754,1
2,12,OTU_41877,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavihumibacter,1,0,0.001528608,0.007393882,1
2,12,OTU_39784,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,0,0.001696758,0.007944737,1
2,12,OTU_86872,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,0,0.001979073,0.00879766,1
2,12,OTU_33523,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1,0,0.002179152,0.009401609,1
2,12,OTU_337277,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified,1,0,0.002727196,0.011198506,1
2,12,OTU_195193,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Dyadobacter,1,0,0.004856983,0.017147806,1
2,12,OTU_159737,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,1,0,0.005857473,0.01997362,1
2,12,OTU_35926,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,1,0,0.009546624,0.029906401,1
2,12,OTU_48957,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified,1,0,0.010783444,0.03293114,1
2,12,OTU_226836,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,1,0,0.013861748,0.040211888,1
2,12,OTU_193015,Bacteria,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,1,0,0.000171312,0.001415311,1
2,12,OTU_245289,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Unclassified,Chloroplast,Streptophyta,1,0,0.0005669,0.003420089,1
2,12,OTU_24841,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Unclassified,Chloroplast,Chlorophyta,1,0,0.000686949,0.003975656,1
2,12,OTU_33993,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Unclassified,Chloroplast,Streptophyta,1,0,0.00191939,0.008672801,1
2,12,OTU_35841,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Unclassified,Chloroplast,Chlorophyta,1,0,0.002469349,0.010289735,1
2,12,OTU_2294,Bacteria,Cyanobacteria/Chloroplast,Unclassified,Unclassified,Unclassified,Unclassified,1,0,0.005663002,0.019340518,1
2,12,OTU_403601,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae 1,Shimazuella,1,0,1.84E-05,0.000240538,1
2,12,OTU_41069,Bacteria,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,1,0,0.001479158,0.007218293,1
2,12,OTU_348835,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1,0,0.002810745,0.011472857,1
2,12,OTU_22096,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1,0,0.003052668,0.012277764,1
2,12,OTU_61415,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1,0,0.011940286,0.035797178,1
2,12,OTU_0,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1,0,0.012483847,0.03709679,1
2,12,OTU_74037,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Zavarzinella,1,0,0.001619559,0.007714862,1
2,12,OTU_175932,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,1.22E-14,2.67E-11,1
2,12,OTU_259505,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,3.17E-14,3.49E-11,1
2,12,OTU_221337,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,1.41E-13,1.03E-10,1
2,12,OTU_4632,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,4.61E-13,2.02E-10,1
2,12,OTU_236061,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,9.22E-13,3.15E-10,1
2,12,OTU_295761,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,2.75E-12,7.56E-10,1
2,12,OTU_278474,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,0,9.96E-12,2.43E-09,1
2,12,OTU_80684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,2.05E-11,4.09E-09,1
2,12,OTU_204357,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,2.33E-11,4.27E-09,1
2,12,OTU_263614,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,5.43E-11,8.51E-09,1
2,12,OTU_113638,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,1,0,9.77E-11,1.34E-08,1
2,12,OTU_258512,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,0,1.07E-10,1.38E-08,1
2,12,OTU_13989,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,1.22E-10,1.47E-08,1
2,12,OTU_5451,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_incertae_sedis,Unclassified,Rhizomicrobium,1,0,1.48E-10,1.62E-08,1
2,12,OTU_153934,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,2.03E-10,2.12E-08,1
2,12,OTU_359631,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,5.20E-10,4.57E-08,1
2,12,OTU_3425,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,0,5.60E-10,4.73E-08,1
2,12,OTU_48136,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,6.55E-10,5.14E-08,1
2,12,OTU_279003,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,1.01E-09,7.17E-08,1
2,12,OTU_386122,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,1.08E-09,7.43E-08,1
2,12,OTU_176345,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,0,1.69E-09,1.06E-07,1
2,12,OTU_358800,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,3.34E-09,1.93E-07,1
2,12,OTU_225182,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,4.52E-09,2.54E-07,1
2,12,OTU_326174,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,5.11E-09,2.81E-07,1
2,12,OTU_39350,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,0,1.05E-08,5.49E-07,1
2,12,OTU_128120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,1,0,1.48E-08,7.55E-07,1
2,12,OTU_16795,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,1,0,1.98E-08,9.68E-07,1
2,12,OTU_231958,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,0,4.97E-08,2.10E-06,1
2,12,OTU_236599,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,8.11E-08,3.13E-06,1
2,12,OTU_160999,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,1.14E-07,4.24E-06,1
2,12,OTU_122674,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,1.31E-07,4.63E-06,1
2,12,OTU_192177,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,1.74E-07,5.89E-06,1
2,12,OTU_121965,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,0,2.68E-07,8.66E-06,1
2,12,OTU_32503,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,2.73E-07,8.69E-06,1
